
NEW                      OLD/NEW/DONTHAVE
backend_connect_timeout  connect_timeout
backend_idle_timeout     backend_idle_timeout
bereq_send_timeout       (new)
beresp_fetch_timeout     (new)
beresp_firstbyte_timeout first_byte_timeout
client_idle_timeout      timeout_idle
client_linger_timeout    timeout_linger
pipe_idle_timeout        pipe_timeout
pipe_sess_timeout        (new)
req_fetch_timeout        (new)
req_firstbyte_timeout    x
resp_send_timeout        send_timeout

other:	beresp_idle_timeout
other:	cli_resp_timeout
other:	resp_idle_timeout
other:	thread_pool_timeout
